NAME,OVERALL_PICK,PLAYER_ID
Priest Lauderdale,28,968
Travis Knight,29,969
Othella Harrington,30,970
Mark Hendrickson,31,971
Moochie Norris,33,983
Jeff McInnis,37,976
Steve Hamer,38,984
Marcus Mann,40,986
Jason Sasser,41,987
Randy Livingston,42,988
Ben Davis,43,989
Malik Rose,44,990
Marcus Brown,46,992
Ron Riley,47,77964
Jamie Feick,48,994
Amal McCaskill,49,1043
Chris Robinson,51,997
Mark Pope,52,998
Jeff Nordgaard,53,999
Shandon Anderson,54,1000
Reggie Geary,56,1002
Drew Barry,57,1003
Tim Duncan,1,1495
Keith Van Horn,2,1496
Chauncey Billups,3,1497
Antonio Daniels,4,1498
Tony Battie,5,1499
Ron Mercer,6,1500
Tim Thomas,7,1501
Adonal Foyle,8,1502
Tracy McGrady,9,1503
Danny Fortson,10,1504
Tariq Abdul-Wahad,11,1505
Austin Croshere,12,1506
Derek Anderson,13,1507
Maurice Taylor,14,1508
Kelvin Cato,15,1509
Brevin Knight,16,1510
Johnny Taylor,17,1511
Chris Anstey,18,1512
Scot Pollard,19,1513
Paul Grant,20,1514
Anthony Parker,21,1515
Ed Gray,22,1516
Bobby Jackson,23,1517
Rodrick Rhodes,24,1518
John Thomas,25,1519
Charles Smith,26,293
Jacque Vaughn,27,1521
Keith Booth,28,1522
Charles O'Bannon,31,1525
James Cotton,32,1526
Bubba Wells,34,1528
Kebu Stewart,35,1529
James Collins,36,1530
Marc Jackson,37,1531
Jerald Honeycutt,38,1532
Anthony Johnson,39,1533
Jason Lawson,41,1535
Stephen Jackson,42,1536
Cedric Henderson,44,1538
God Shammgod,45,1539
Eric Washington,46,1540
Alvin Williams,47,1541
Predrag Drobnjak,48,1542
Chris Crawford,50,1544
DeJuan Wheat,51,1545
Mark Blount,54,1548
Michael Olowokandi,1,1709
Mike Bibby,2,1710
Raef LaFrentz,3,1711
Antawn Jamison,4,1712
Vince Carter,5,1713
Robert Traylor,6,1714
Jason Williams,7,1715
Larry Hughes,8,1716
Dirk Nowitzki,9,1717
Paul Pierce,10,1718
Bonzi Wells,11,1719
Michael Doleac,12,1720
Keon Clark,13,1721
Michael Dickerson,14,1722
Matt Harpring,15,1723
Bryce Drew,16,1724
Pat Garrity,19,1727
Roshown McLeod,20,1728
Ricky Davis,21,1729
Brian Skinner,22,1730
Tyronn Lue,23,1731
Al Harrington,25,1733
Sam Jacobson,26,1734
Vladimir Stepania,27,1735
Corey Benjamin,28,1736
Nazr Mohammed,29,1737
Ansu Sesay,30,1738
Ruben Patterson,31,1739
Rashard Lewis,32,1740
Jelani McCoy,33,1741
Shammond Williams,34,1742
Jerome James,36,1744
Casey Shaw,37,1745
DeMarco Johnson,38,1746
Rafer Alston,39,1747
Korleone Young,40,1748
Cuttino Mobley,41,1749
Miles Simon,42,1750
Jahidi White,43,1751
Sean Marks,44,1752
Toby Bailey,45,1753
Andrae Patterson,46,1754
Tyson Wheeler,47,1755
Ryan Stack,48,1756
Cory Carr,49,1757
Corey Brewer,51,201147
Derrick Dial,52,1760
Greg Buckner,53,1761
Tremaine Fowlkes,54,1762
Ryan Bowen,55,1763
J.R. Henderson,56,1764
Torraye Braggs,57,1765
Maceo Baston,58,1766
Elton Brand,1,1882
Steve Francis,2,1883
Baron Davis,3,1884
Lamar Odom,4,1885
Jonathan Bender,5,1886
Wally Szczerbiak,6,1887
Richard Hamilton,7,1888
Andre Miller,8,1889
Shawn Marion,9,1890
Jason Terry,10,1891
Trajan Langdon,11,1892
Corey Maggette,13,1894
William Avery,14,1895
Metta World Peace,16,1897
Cal Bowdler,17,1898
James Posey,18,1899
Quincy Lewis,19,1900
Dion Glover,20,1901
Jeff Foster,21,1902
Kenny Thomas,22,1903
Devean George,23,1904
Andrei Kirilenko,24,1905
Tim James,25,1906
Vonteego Cummings,26,1907
Jumaine Jones,27,1908
Scott Padgett,28,1909
Leon Smith,29,1910
John Celestand,30,1911
Michael Ruffin,32,1913
Chris Herren,33,1914
Evan Eschmeyer,34,1915
Calvin Booth,35,1916
Obinna Ekezie,37,1918
Laron Profit,38,1919
A.J. Bramlett,39,1920
Francisco Elson,41,1922
Lee Nailon,43,1924
Ryan Robertson,45,1926
Todd MacCulloch,47,1928
Lari Ketner,49,1930
Rodney Buford,53,1934
Tim Young,56,1937
Kenyon Martin,1,2030
Stromile Swift,2,2031
Darius Miles,3,2032
Marcus Fizer,4,2033
Mike Miller,5,2034
DerMarr Johnson,6,2035
Chris Mihm,7,2036
Jamal Crawford,8,2037
Joel Przybilla,9,2038
Keyon Dooling,10,2039
Etan Thomas,12,2041
Courtney Alexander,13,2042
Mateen Cleaves,14,2043
Jason Collier,15,2044
Desmond Mason,17,2046
Quentin Richardson,18,2047
Jamaal Magloire,19,2048
Speedy Claxton,20,2049
Morris Peterson,21,2050
Donnell Harvey,22,2051
DeShawn Stevenson,23,2052
Jake Tsakalidis,25,2054
Mamadou N'Diaye,26,2055
Erick Barkley,28,2057
Mark Madsen,29,2058
Dan Langhi,31,2061
A.J. Guyton,32,2062
Jake Voskuhl,33,2063
Khalid El-Amin,34,2064
Mike Smith,35,2065
Soumaila Samake,36,2066
Eddie House,37,2067
Lavor Postell,39,2068
Olumide Oyedeji,42,2071
Michael Redd,43,2072
Brian Cardinal,44,2073
Jabari Smith,45,2074
Jason Hart,49,2078
Kaniel Dickens,50,2079
Ernest Brown,52,2081
Dan McClintock,53,2082
Chris Porter,55,2084
Kwame Brown,1,2198
Tyson Chandler,2,2199
Pau Gasol,3,2200
Eddy Curry,4,2201
Jason Richardson,5,2202
Shane Battier,6,2203
Eddie Griffin,7,2204
DeSagana Diop,8,2205
Rodney White,9,2206
Joe Johnson,10,2207
Kedrick Brown,11,2208
Richard Jefferson,13,2210
Troy Murphy,14,2211
Steven Hunter,15,2212
Kirk Haston,16,2213
Michael Bradley,17,2214
Jason Collins,18,2215
Zach Randolph,19,2216
Brendan Haywood,20,2217
Joseph Forte,21,2218
Jeryl Sasser,22,2219
Brandon Armstrong,23,2220
Gerald Wallace,25,2222
Samuel Dalembert,26,2223
Jamaal Tinsley,27,2224
Tony Parker,28,2225
Trenton Hassell,30,2239
Gilbert Arenas,31,2240
Omar Cook,32,2241
Will Solomon,33,2226
Terence Morris,34,2242
Brian Scalabrine,35,2243
Jeff Trepagnier,36,2244
Damone Brown,37,2245
Mehmet Okur,38,2246
Earl Watson,40,2248
